quotes,url
"You can't connect the dots looking forward; you can only connect them looking backwards. So you have to trust that the dots will somehow connect in your future. You have to trust in something - your gut, destiny, life, karma, whatever. This approach has never let me down, and it has made all the difference in my life.",https://www.brainyquote.com/authors/steve-jobs-quotes
Remembering that you are going to die is the best way I know to avoid the trap of thinking you have something to lose. You are already naked. There is no reason not to follow your heart.,https://www.brainyquote.com/authors/steve-jobs-quotes
Innovation distinguishes between a leader and a follower.,https://www.brainyquote.com/authors/steve-jobs-quotes
My favorite things in life don't cost any money. It's really clear that the most precious resource we all have is time.,https://www.brainyquote.com/authors/steve-jobs-quotes
"An iPod, a phone, an internet mobile communicator... these are NOT three separate devices! And we are calling it iPhone! Today Apple is going to reinvent the phone. And here it is.",https://www.brainyquote.com/authors/steve-jobs-quotes
I believe life is an intelligent thing: that things aren't random.,https://www.brainyquote.com/authors/steve-jobs-quotes
I want to put a ding in the universe.,https://www.brainyquote.com/authors/steve-jobs-quotes
"It's not the tools that you have faith in - tools are just tools. They work, or they don't work. It's people you have faith in or not. Yeah, sure, I'm still optimistic I mean, I get pessimistic sometimes but not for long.",https://www.brainyquote.com/authors/steve-jobs-quotes
It's not a faith in technology. It's faith in people.,https://www.brainyquote.com/authors/steve-jobs-quotes
"Older people sit down and ask, 'What is it?' but the boy asks, 'What can I do with it?'.",https://www.brainyquote.com/authors/steve-jobs-quotes
"I didn't see it then, but it turned out that getting fired from Apple was the best thing that could have ever happened to me. The heaviness of being successful was replaced by the lightness of being a beginner again, less sure about everything. It freed me to enter one of the most creative periods of my life.",https://www.brainyquote.com/authors/steve-jobs-quotes
"A lot of people in our industry haven't had very diverse experiences. So they don't have enough dots to connect, and they end up with very linear solutions without a broad perspective on the problem. The broader one's understanding of the human experience, the better design we will have.",https://www.brainyquote.com/authors/steve-jobs-quotes
"Technology is nothing. What's important is that you have a faith in people, that they're basically good and smart, and if you give them tools, they'll do wonderful things with them.",https://www.brainyquote.com/authors/steve-jobs-quotes
"And no, we don't know where it will lead. We just know there's something much bigger than any of us here.",https://www.brainyquote.com/authors/steve-jobs-quotes
"The system is that there is no system. That doesn't mean we don't have process. Apple is a very disciplined company, and we have great processes. But that's not what it's about. Process makes you more efficient.",https://www.brainyquote.com/authors/steve-jobs-quotes
"Sometimes when you innovate, you make mistakes. It is best to admit them quickly, and get on with improving your other innovations.",https://www.brainyquote.com/authors/steve-jobs-quotes
We're just enthusiastic about what we do.,https://www.brainyquote.com/authors/steve-jobs-quotes
"Part of what made the Macintosh great was that the people working on it were musicians, poets, and artists, and zoologists, and historians. They also happened to be the best computer scientists in the world. But if it hadn't been computer science, these people would have been doing amazing things in other fields.",https://www.brainyquote.com/authors/steve-jobs-quotes
"When you're a carpenter making a beautiful chest of drawers, you're not going to use a piece of plywood on the back, even though it faces the wall and nobody will ever see it. You'll know it's there, so you're going to use a beautiful piece of wood on the back.",https://www.brainyquote.com/authors/steve-jobs-quotes
"Your work is going to fill a large part of your life, and the only way to be truly satisfied is to do what you believe is great work. And the only way to do great work is to love what you do. If you haven't found it yet, keep looking. Don't settle. As with all matters of the heart, you'll know when you find it.",https://www.brainyquote.com/authors/steve-jobs-quotes
"Your time is limited, so don't waste it living someone else's life. Don't be trapped by dogma - which is living with the results of other people's thinking. Don't let the noise of others' opinions drown out your own inner voice. And most important, have the courage to follow your heart and intuition.",https://www.brainyquote.com/authors/steve-jobs-quotes
"For the past 33 years, I have looked in the mirror every morning and asked myself: 'If today were the last day of my life, would I want to do what I am about to do today?' And whenever the answer has been 'No' for too many days in a row, I know I need to change something.",https://www.brainyquote.com/authors/steve-jobs-quotes
"Stay hungry, stay foolish.",https://www.brainyquote.com/authors/steve-jobs-quotes
"Creativity is just connecting things. When you ask creative people how they did something, they feel a little guilty because they didn't really do it, they just saw something. It seemed obvious to them after a while. That's because they were able to connect experiences they've had and synthesize new things.",https://www.brainyquote.com/authors/steve-jobs-quotes
"No one wants to die. Even people who want to go to heaven don't want to die to get there. And yet death is the destination we all share. No one has ever escaped it. And that is as it should be, because Death is very likely the single best invention of Life. It is Life's change agent. It clears out the old to make way for the new.",https://www.brainyquote.com/authors/steve-jobs-quotes
Design is not just what it looks like and feels like. Design is how it works.,https://www.brainyquote.com/authors/steve-jobs-quotes
If you're gonna make connections which are innovative... you have to not have the same bag of experiences as everyone else does.,https://www.brainyquote.com/authors/steve-jobs-quotes
Everyone here has the sense that right now is one of those moments when we are influencing the future.,https://www.brainyquote.com/authors/steve-jobs-quotes
"Being the richest man in the cemetery doesn't matter to me. Going to bed at night saying we've done something wonderful, that's what matters to me.",https://www.brainyquote.com/authors/steve-jobs-quotes
Design is the fundamental soul of a man-made creation that ends up expressing itself in successive outer layers of the product or service. The iMac is not just the color or translucence or the shape of the shell. The essence of the iMac is to be the finest possible consumer computer in which each element plays together.,https://www.brainyquote.com/authors/steve-jobs-quotes
"As individuals, people are inherently good. I have a somewhat more pessimistic view of people in groups. And I remain extremely concerned when I see what's happening in our country, which is in many ways the luckiest place in the world. We don't seem to be excited about making our country a better place for our kids.",https://www.brainyquote.com/authors/steve-jobs-quotes
"Design is a funny word. Some people think design means how it looks. But of course, if you dig deeper, it's really how it works.",https://www.brainyquote.com/authors/steve-jobs-quotes
"If you haven't found it yet, keep looking. Don't settle. As with all matters of the heart, you'll know when you find it. And, like any great relationship, it just gets better and better as the years roll on.",https://www.brainyquote.com/authors/steve-jobs-quotes
"I've done a lot of things I'm not proud of, such as getting my girlfriend pregnant when I was 23 and the way I handled that.",https://www.brainyquote.com/authors/steve-jobs-quotes
And one more thing.,https://www.brainyquote.com/authors/steve-jobs-quotes
